list-none-none,1,10,1,30,89307,2976
list-none-none,1,100,1,300,65661,218
list-none-none,1,1000,1,3000,107156,35
list-none-none,1,10000,1,30000,500786,16
list-none-none,1,20000,1,60000,960872,16
list-none-none,2,1,1,6,76532,12755
list-none-none,2,10,1,60,94377,1572
list-none-none,2,100,1,600,88244,147
list-none-none,4,10,1,120,132535,1104
list-none-none,8,1,1,24,210775,8782
list-none-none,8,10,1,240,199171,829
list-none-none,12,1,1,36,309759,8604
list-none-none,12,100,1,3600,311856,86
list-i-none,2,1,1,6,69274,11545
list-i-none,2,4,1,24,99391,4141
list-i-none,2,8,1,48,81348,1694
list-i-none,4,2,1,24,118486,4936
list-i-none,4,4,1,48,107760,2245
list-i-none,8,2,1,48,204813,4266
list-i-none,8,4,1,96,216671,2256
list-i-none,8,8,1,192,224570,1169
list-i-none,8,16,1,384,220858,575
list-i-none,12,1,1,36,308716,8575
list-i-none,12,2,1,72,303259,4211
list-i-none,12,4,1,144,261717,1817
list-d-none,2,1,1,6,81951,13658
list-d-none,2,2,1,12,86422,7201
list-d-none,2,4,1,24,82630,3442
list-d-none,2,8,1,48,77532,1615
list-d-none,4,1,1,12,137841,11486
list-d-none,4,4,1,48,131241,2734
list-d-none,4,8,1,96,107707,1121
list-d-none,8,1,1,24,232570,9690
list-d-none,8,2,1,48,226995,4729
list-d-none,8,4,1,96,194653,2027
list-d-none,8,8,1,192,195929,1020
list-d-none,12,1,1,36,334564,9293
list-d-none,12,2,1,72,289743,4024
list-d-none,12,4,1,144,298924,2075
list-il-none,2,2,1,12,86425,7202
list-il-none,2,4,1,24,91857,3827
list-il-none,4,1,1,12,119388,9949
list-il-none,4,2,1,24,143422,5975
list-il-none,4,4,1,48,143053,2980
list-il-none,4,8,1,96,120833,1258
list-il-none,8,1,1,24,228585,9524
list-il-none,8,2,1,48,242461,5051
list-il-none,8,4,1,96,225845,2352
list-il-none,12,2,1,72,300009,4166
list-il-none,12,4,1,144,298269,2071
list-dl-none,2,1,1,6,83739,13956
list-dl-none,2,2,1,12,84077,7006
list-dl-none,2,8,1,48,97634,2034
list-dl-none,2,16,1,96,110876,1154
list-dl-none,2,32,1,192,136696,711
list-dl-none,4,2,1,24,102004,4250
list-dl-none,4,4,1,48,128799,2683
list-dl-none,4,8,1,96,129282,1346
list-dl-none,8,2,1,48,200749,4182
list-dl-none,12,1,1,36,321841,8940
list-dl-none,12,2,1,72,341684,4745
list-dl-none,12,4,1,144,285189,1980
list-i-m,12,32,1,1152,1174759,1019
list-d-m,12,32,1,1152,1083047,940
list-il-m,12,32,1,1152,2057235,1785
list-dl-m,12,32,1,1152,1912726,1660
list-i-s,12,32,1,1152,897604,779
list-d-s,12,32,1,1152,1062493,922
list-il-s,12,32,1,1152,2328664,2021
list-dl-s,12,32,1,1152,2061203,1789
list-none-none,1,1000,1,3000,126919,42
list-none-m,1,1000,1,3000,160781,53
list-none-m,2,1000,1,6000,2887797,481
list-none-m,4,1000,1,12000,3087941,257
list-none-m,8,1000,1,24000,11121071,463
list-none-m,12,1000,1,36000,18580946,516
list-none-m,16,1000,1,48000,26371798,549
list-none-m,24,1000,1,72000,41637890,578
list-none-s,1,1000,1,3000,142404,47
list-none-s,2,1000,1,6000,428418,71
list-none-s,4,1000,1,12000,3277128,273
list-none-s,8,1000,1,24000,11067524,461
list-none-s,12,1000,1,36000,17640892,490
list-none-s,16,1000,1,48000,34992928,729
list-none-s,24,1000,1,72000,67673486,939
